Team,No.,Player,Pos,Ht,Wt,Birth Date,Age,Exp,College, Salary ,Draft Pick,NOTES,,,,
Aces,22,A'ja Wilson,C,"6' 4"" ",195,8/8/96,29,7,South Carolina,,"2018: Rd 1, Pk 1 (LV)",,,,,
Aces,13,Aaliyah Nye,G,"6' 0"" ",,8/14/02,23,0,Alabama,,"202: Rd 2, Pk 13 (LV)","Illinois, Alabama",,,,
Aces,12,Chelsea Gray,G,"5' 11""",170,10/8/92,33,10,Duke,,"2014: Rd 1, Pk 11 (CONN)",,,,,
Aces,32,Cheyenne Parker-Tyus,F,"6' 4"" ",193,8/22/92,33,10,Middle Tennessee,,"2015: Rd 1, Pk 5 (CHI)",,,,,
Aces,8,Crystal Bradford,F,"6' 0"" ",170,11/1/93,32,2,Central Michigan,,"2015: Rd 1, Pk 7 (LA)",,,,,
Aces,11,Dana Evans,G,"5' 6""",145,8/1/98,27,4,Louisville,,"2021: Rd 2, Pk 13 (DAL)",,,,,
Aces,33,Elizabeth Kitley,C,"6' 6""",,9/17/01,24,0,Virginia Tech,,"2024: Rd 2, Pk 24 (LV)",,,,,
Aces,0,Jackie Young,G,"6' 1"" ",165,9/16/97,28,6,Notre Dame,,"2019: Rd 1, Pk 1 (SA)",,,,,
Aces,24,Jewell Loyd,G,"5' 11""",175,10/5/93,32,10,Notre Dame,,"2015: Rd 1, Pk 1 (SEA)",,,,,
Aces,41,Kiah Stokes,C,"6' 3"" ",191,3/30/93,32,9,UConn,,"2015: Rd 1, Pk 11 (NY)",,,,,
Aces,1,Kierstan Bell,F,"6' 1"" ",176,3/16/00,25,3,Florida Gulf Coast,,"2022: Rd 1, Pk 11 (LV)","Ohio State, Florida Gulf Coast",,,,
Aces,17,Megan Gustafson,C,"6' 4"" ",195,12/13/96,28,6,Iowa,,"2019: Rd 2, Pk 17 (DAL)",,,,,
Aces,3,Tiffany Mitchell,G,"5' 9""",169,9/23/94,31,9,South Carolina,,"2016: Rd 1, Pk 9 (IND)",,,,,
Dream,15,Allisha Gray,G,"6' 1"" ",167,1/12/95,30,8,South Carolina,,"2017: Rd 1, Pk 4 (DAL)",,,,,
Dream,42,Brionna Jones,F,"6' 3"" ",215,12/18/95,29,8,Maryland,,"2017: Rd 1, Pk 8 (CONN)",,,,,
Dream,42,Brittney Griner,C,"6' 9"" ",205,10/18/90,35,11,Baylor,,"2013: Rd 1, Pk 1 (PHX)",,,,,
Dream,3,Jordin Canada,G,"5' 6""",135,8/11/95,30,7,UCLA,,"2018: Rd 1, Pk 5 (SEA)","UNC, South Carolina",,,,
Dream,33,Maya Caldwell,G,"5' 11""",160,12/15/98,26,3,Georgia,,"2021: Rd 3, Pk 33 (IND)",,,,,
Dream,0,Naz Hillmon,"6' 2"" ","6' 2"" ",190,4/5/00,25,3,Michigan,,"2022: Rd 2, Pk 15 (ATL)",,,,,
Dream,12,Nia Coffey,F,"6' 1"" ",182,6/11/95,30,8,Northwestern,,"2017: Rd 1, Pk 5 (SA)",,,,,
Dream,10,Rhyne Howard,G,"6' 2"" ",175,4/29/00,25,3,Kentucky,,"2022: Rd 1, Pk 1 (ATL)",,,,,
Dream,32,Shatori Walker-Kimbrough,G,"5' 9""",140,5/18/95,30,8,Maryland,,"2017: Rd 1, Pk 6 (WSH)",,,,,
Dream,5,Taylor Thierry,F,"6' 1"" ",,1/8/03,22,R,Ohio State,,"2025: Rd 3, Pk 36 (ATL)",,,,,
Dream,2,Te-Hina Paopao,G,"5' 9""",,8/21/02,23,R,South Carolina,,"2025: Rd 2, Pk 18 (ATL)",,,,,
Fever,15,Aari McDonald,G,"5' 6""",141,8/20/98,27,4,Arizona,,"2021: Rd 1, Pk 3 (ATL)",,,,,
Fever,7,Aliyah Boston,F-C,"6' 5""",220,12/11/01,23,2,South Carolina,,"2023: Rd 1, Pk 1 (IND)",,,,,
Fever,21,Brianna Turner,F,"6' 3"" ",170,7/5/96,29,6,Notre Dame,,"2019: Rd 1, Pk 11 (IND)",,,,,
Fever,22,Caitlin Clark,G,"6' 1"" ",152,1/22/02,23,1,Iowa,,"2024: Rd 1, Pk 1 (IND)",,,,,
Fever,12,Damiris Dantas,F,"6' 3"" ",214,11/17/92,33,9,BRAZIL,,"2012: Rd 1, Pk 12 (MIN)",,,,,
Fever,24,DeWanna Bonner,F-G,"6' 4"" ",140,8/21/87,38,15,Auburn,,"2009: Rd 1, Pk 5 (PHX)",,,,,
Fever,0,Kelsey Mitchell,G,"5' 8"" ",160,11/12/95,30,7,Ohio State,,"2018: Rd 1, Pk 2 (IND)",,,,,
Fever,10,Lexie Hull,G,"6' 1"" ",155,9/13/99,26,3,Stanford,,"2022: Rd 1, Pk 6 (IND)",,,,,
Fever,21,Makayla Timpson,F,"6' 2"" ",173,9/20/22,3,R,Florida State,,"2025: Rd 2, Pk 19 (IND)",,,,,
Fever,6,Natasha Howard,F,"6' 2"" ",165,9/2/91,34,11,Florida State,,"2014: Rd 1, Pk 5 (IND)",,,,,
